sampleId,service,cpuUsage,memoryUsage,p95Latency,errorRate,requestRate,dbPoolUsage,deploymentChanged,sloThreshold,slo_violation
SAMPLE-00153,Checkout,84.5,99,3.8,3.81,457,57.4,1,2,1
SAMPLE-00154,Orders,44,54.2,0.68,0.11,332,18.8,0,2,0
SAMPLE-00155,Checkout,39.4,38.9,0.5,0.04,272,40.5,0,2,0
SAMPLE-00156,Authentication,90.9,94.9,2.13,9.1,377,62,1,2,1
SAMPLE-00157,Inventory,27.2,53.7,0.58,0.08,341,60.4,0,2,0
SAMPLE-00158,Payments,87.1,67.8,2.52,3.53,1723,92.1,0,2,1
SAMPLE-00159,Orders,42.7,44,0.67,0,311,18.3,0,2,0
SAMPLE-00160,Inventory,90.1,80.3,3.26,1.55,1223,89.4,0,2,1
SAMPLE-00161,Inventory,92.3,81.3,3.64,3.24,932,95.8,1,2,1
SAMPLE-00162,Checkout,92.1,75.2,2.17,1.97,969,95.9,0,2,1
SAMPLE-00163,Inventory,40.7,68,0.08,0.1,209,10,0,2,0
SAMPLE-00164,Inventory,91.3,85.1,4.6,1.38,1434,94.7,0,2,1
SAMPLE-00165,Payments,24.9,40.6,0.81,0.05,288,26.3,0,2,0
SAMPLE-00166,Orders,42.1,58,0.34,0,261,19.7,0,2,0
SAMPLE-00167,Payments,49.1,67.5,0.5,0,371,26.4,0,2,0
SAMPLE-00168,Payments,33.2,50.4,0.65,0.1,333,57.8,0,2,0
SAMPLE-00169,Orders,50,50,0.56,0.07,227,36.9,0,2,0
SAMPLE-00170,Inventory,25.9,53.5,0.24,0,242,39.4,0,2,0
SAMPLE-00171,Checkout,71.3,89.4,3.02,12.24,604,79.6,1,2,1
SAMPLE-00172,Authentication,84.2,80,3.95,1.94,1457,100,0,2,1
SAMPLE-00173,Checkout,44.3,55.8,0.29,0.08,376,45.1,0,2,0
SAMPLE-00174,Authentication,50.7,43.6,0.99,0,383,35.1,0,2,0
SAMPLE-00175,Checkout,98.3,79,3.31,0.93,1246,94.9,1,2,1
SAMPLE-00176,Inventory,32.1,45.6,0.71,0.09,343,36.7,0,2,0
SAMPLE-00177,Authentication,50.2,33.5,0.67,0.02,246,32.2,0,2,0
SAMPLE-00178,Payments,84.6,75.2,3.38,1.02,1855,93.1,0,2,1
SAMPLE-00179,Payments,31.4,55.2,0.08,0.01,298,32.1,0,2,0
SAMPLE-00180,Payments,37,44.9,0.31,0.08,328,40.1,0,2,0
SAMPLE-00181,Payments,80.7,94.5,2.62,20.38,233,82.3,1,2,1
SAMPLE-00182,Authentication,42.4,54.3,0.18,0.05,189,41.3,0,2,0
SAMPLE-00183,Orders,99,88.4,3.47,3.73,1466,96.7,0,2,1
SAMPLE-00184,Orders,35.9,50.5,0.08,0.06,480,34.6,0,2,0
SAMPLE-00185,Checkout,57.3,36.7,0.44,0.06,279,24.6,0,2,0
SAMPLE-00186,Authentication,48.2,40.3,0.61,0.01,327,38.8,0,2,0
SAMPLE-00187,Orders,39.6,36.9,0.17,0.12,366,21.3,0,2,0
SAMPLE-00188,Authentication,37,45.8,0.08,0.03,300,31.6,0,2,0
SAMPLE-00189,Orders,84.9,83.9,4.36,6.88,532,50,1,2,1
SAMPLE-00190,Payments,72,83.6,4,6.36,303,76.8,1,2,1
SAMPLE-00191,Checkout,20.8,53.1,0.55,0,519,37.1,0,2,0
SAMPLE-00192,Orders,84.8,96.3,2.91,8.45,264,72.9,1,2,1
SAMPLE-00193,Authentication,87,97.6,3,9.18,484,72,1,2,1
SAMPLE-00194,Inventory,82.5,86.8,3.64,1.22,1148,91.2,0,2,1
SAMPLE-00195,Orders,48.9,48.7,0.56,0.02,344,21.1,0,2,0
SAMPLE-00196,Inventory,33.2,39.1,0.14,0.06,367,43.7,0,2,0
SAMPLE-00197,Authentication,73.9,83.7,3.88,7.45,306,62,1,2,1
SAMPLE-00198,Payments,61.8,48.1,0.59,0,344,44.2,0,2,0
SAMPLE-00199,Orders,97.1,75.7,1.8,4.25,1650,90.2,0,2,1
SAMPLE-00200,Checkout,45.3,60.5,0.49,0.05,377,40.8,0,2,0
SAMPLE-00201,Orders,74.6,86.3,3.55,4.83,574,99,1,2,1
SAMPLE-00202,Payments,80.3,70.9,3.11,4.5,1223,100,1,2,1
SAMPLE-00203,Authentication,42,29.8,0.45,0.08,427,23.6,0,2,0
SAMPLE-00204,Checkout,82.5,87.1,2.11,9.37,758,52.7,1,2,1
SAMPLE-00205,Authentication,27.3,42.8,0.16,0.1,233,29.4,0,2,0
SAMPLE-00206,Checkout,97.6,81.2,3.66,2.91,1926,96.9,1,2,1
SAMPLE-00207,Payments,52.1,34.7,0.43,0.1,307,51.6,0,2,0
SAMPLE-00208,Checkout,86.4,80.1,1.82,2.28,1209,99.4,0,2,0
SAMPLE-00209,Payments,44.1,50.7,0.08,0.02,403,34.9,0,2,0
SAMPLE-00210,Authentication,59.3,89.1,3.63,3,490,75.2,1,2,1
SAMPLE-00211,Inventory,54.2,35.3,0.19,0.09,288,26.5,0,2,0
SAMPLE-00212,Checkout,84.8,78.2,3.65,1.64,1737,90,0,2,1
SAMPLE-00213,Authentication,29.8,53,0.39,0.04,329,23,0,2,0
SAMPLE-00214,Authentication,46.3,48.8,0.08,0,191,25.5,0,2,0
SAMPLE-00215,Orders,32,60.1,0.34,0.11,272,32.1,1,2,0
SAMPLE-00216,Inventory,83.7,88.9,4.08,6.2,746,77.7,1,2,1
SAMPLE-00217,Payments,78,84.9,2.55,2.51,900,95.8,0,2,1
SAMPLE-00218,Inventory,76.4,89,3.79,10.64,618,52.7,1,2,1
SAMPLE-00219,Payments,29.8,31.5,0.37,0.03,426,44.1,0,2,0
SAMPLE-00220,Payments,37,54.6,0.18,0,465,45.1,0,2,0
SAMPLE-00221,Authentication,22.3,50,0.36,0.02,466,26.7,0,2,0
SAMPLE-00222,Inventory,43,25,0.39,0.07,323,42,0,2,0
SAMPLE-00223,Payments,89.1,89.3,2.27,7.63,498,89.5,1,2,1
SAMPLE-00224,Authentication,95.9,77.7,3.2,3.04,1908,92.1,0,2,1
SAMPLE-00225,Payments,23.9,48.1,0.12,0,322,40.2,0,2,0
SAMPLE-00226,Inventory,47.9,44.4,0.52,0.01,517,47.4,0,2,0
SAMPLE-00227,Inventory,38.2,45.7,0.62,0.03,227,44.5,0,2,0
SAMPLE-00228,Checkout,40.7,39,0.23,0.06,368,19.1,0,2,0
SAMPLE-00229,Authentication,78,83,1.81,2.35,1321,100,1,2,0
SAMPLE-00230,Payments,88.9,85.8,2.84,11.8,661,50,1,2,1
SAMPLE-00231,Orders,47.3,59.1,0.38,0.01,201,39.1,0,2,0
SAMPLE-00232,Orders,75.6,93.6,3.43,11.46,379,50.4,1,2,1
SAMPLE-00233,Payments,66.7,80.1,2.91,11.19,592,97.3,1,2,1
SAMPLE-00234,Checkout,33.3,56,0.78,0.07,293,26.8,0,2,0
SAMPLE-00235,Authentication,83.6,95.3,3.03,13.49,637,55.3,1,2,1
SAMPLE-00236,Payments,45.3,34.8,0.47,0.08,427,13.5,0,2,0
SAMPLE-00237,Checkout,50.4,42.1,0.58,0.06,281,32.1,0,2,0
SAMPLE-00238,Inventory,94.8,73.7,4.44,1.35,1531,95.9,0,2,1
SAMPLE-00239,Checkout,85,96.9,3.93,12.19,604,94.5,1,2,1
SAMPLE-00240,Payments,30.2,49.6,0.1,0,248,54,0,2,0
SAMPLE-00241,Authentication,29.5,49.6,0.37,0.04,183,24.4,0,2,0
SAMPLE-00242,Orders,71.8,99,3.56,11.79,214,76.5,1,2,1
SAMPLE-00243,Checkout,28.4,53.3,0.62,0.08,246,39,0,2,0
SAMPLE-00244,Checkout,88.7,76.6,3.72,1.41,900,93.7,0,2,1
SAMPLE-00245,Payments,31.4,51.7,0.48,0.07,310,21.9,0,2,0
SAMPLE-00246,Orders,90,81.9,3.91,1.41,900,90,0,2,1
SAMPLE-00247,Payments,66.1,37.5,0.08,0,480,34.8,0,2,0
SAMPLE-00248,Orders,47.1,48.7,0.32,0.11,392,48.2,0,2,0
SAMPLE-00249,Checkout,42.8,49.4,0.31,0.01,457,17.8,0,2,0
SAMPLE-00250,Orders,77.1,91.3,3.01,6.44,490,67.2,1,2,1
SAMPLE-00251,Authentication,30.9,59.9,0.94,0.01,274,21.7,0,2,0
SAMPLE-00252,Inventory,39.8,57.9,0.49,0.01,258,13.2,0,2,0
SAMPLE-00253,Payments,29.7,50.7,0.48,0.1,239,39.6,0,2,0
SAMPLE-00254,Authentication,37.1,54.1,0.47,0.13,398,29.5,0,2,0
SAMPLE-00255,Checkout,51.8,48.4,0.19,0.09,274,25,0,2,0
SAMPLE-00256,Checkout,33.1,45.8,0.85,0.11,188,36.4,1,2,0
SAMPLE-00257,Checkout,56,45.5,0.49,0.06,279,37.8,0,2,0
SAMPLE-00258,Payments,90.1,86.1,3.84,3.91,1153,92.2,0,2,1
SAMPLE-00259,Orders,83,83.5,2.86,1.04,1513,94.7,0,2,1
SAMPLE-00260,Checkout,44,47.9,0.6,0,418,36.3,0,2,0
SAMPLE-00261,Inventory,89.5,72.1,2.64,1.94,1040,92.3,1,2,1
SAMPLE-00262,Orders,17.7,49.1,0.86,0.07,268,14.7,0,2,0
SAMPLE-00263,Authentication,77.4,93.2,3.36,4.59,478,50.4,1,2,1
SAMPLE-00264,Checkout,69.5,47.8,0.64,0.06,357,23.4,0,2,0
SAMPLE-00265,Inventory,82.3,78.9,3.16,4.61,1814,96.2,0,2,1
SAMPLE-00266,Orders,17.4,42.5,0.33,0.05,336,18.1,1,2,0
SAMPLE-00267,Inventory,57.5,38.6,0.59,0.04,243,65,0,2,0
SAMPLE-00268,Checkout,41.3,56.3,0.24,0,395,29.9,0,2,0
SAMPLE-00269,Checkout,82.2,99,4.09,9.45,593,66.1,1,2,1
SAMPLE-00270,Orders,87.5,75.3,3.36,1.73,1578,90,0,2,1
SAMPLE-00271,Authentication,80.7,79.4,4.45,2.14,1234,100,0,2,1
SAMPLE-00272,Inventory,43.2,52.1,0.39,0.01,53,31.6,0,2,0
SAMPLE-00273,Orders,27,52.4,0.74,0,400,28,0,2,0
SAMPLE-00274,Inventory,32,49.9,0.46,0.11,345,27,0,2,0
SAMPLE-00275,Inventory,20.8,45.5,0.9,0.11,428,49.5,1,2,0
SAMPLE-00276,Payments,48.1,55.6,0.37,0.09,359,33.7,0,2,0
SAMPLE-00277,Authentication,94.2,90,3.85,11.65,593,75.5,1,2,1
SAMPLE-00278,Checkout,75.5,80.6,4.02,13.69,583,71.9,1,2,1
SAMPLE-00279,Authentication,59,55,0.84,0.07,335,60.2,0,2,0
SAMPLE-00280,Inventory,24.4,47.7,0.57,0.07,274,27,0,2,0
SAMPLE-00281,Payments,45.9,38.9,0.6,0.14,319,58,1,2,0
SAMPLE-00282,Payments,78,84.6,1.8,2.59,1333,92.9,0,2,1
SAMPLE-00283,Authentication,76.6,78.4,2.61,7.78,474,60.6,1,2,1
SAMPLE-00284,Inventory,43.3,51,0.26,0,345,21.8,0,2,0
SAMPLE-00285,Inventory,35,52.7,0.38,0.08,332,26.9,0,2,0
SAMPLE-00286,Authentication,99,91.2,2.86,7.82,311,92.6,1,2,1
SAMPLE-00287,Inventory,40.7,37.7,0.73,0.05,309,49.2,0,2,0
SAMPLE-00288,Inventory,38.9,46,0.16,0,296,20.1,0,2,0
SAMPLE-00289,Payments,83.7,77.6,3.95,0.83,1524,99.5,0,2,1
SAMPLE-00290,Orders,29.6,43.1,0.38,0.03,293,48.5,0,2,0
SAMPLE-00291,Authentication,17.2,35.7,0.26,0.08,320,26.8,0,2,0
SAMPLE-00292,Payments,25.8,43,0.52,0.12,264,42.8,0,2,0
SAMPLE-00293,Authentication,90.2,68.3,4.64,1.24,1476,85.5,0,2,1
SAMPLE-00294,Authentication,47.9,37.1,0.68,0.04,345,28.4,0,2,0
SAMPLE-00295,Checkout,90,86.5,3.34,1.74,2014,97,0,2,1
SAMPLE-00296,Payments,87.3,84.4,2.73,2.91,1527,99.3,0,2,1
SAMPLE-00297,Orders,66.9,58.1,0.39,0.01,261,44.6,0,2,0
SAMPLE-00298,Checkout,84.6,91.8,3.75,7.39,608,69.5,1,2,1
SAMPLE-00299,Authentication,50.5,51.1,0.69,0.03,294,44.2,0,2,0
SAMPLE-00300,Inventory,81.6,93.2,2.51,4.48,673,71.6,1,2,1
SAMPLE-00301,Authentication,83.8,94.1,3.55,8.07,456,63.7,1,2,1
SAMPLE-00302,Payments,77.6,94.5,4.05,4.18,591,70.6,1,2,1
SAMPLE-00303,Orders,53.3,53.7,0.55,0.09,347,47.7,0,2,0
SAMPLE-00304,Orders,76.3,91.7,3.27,12.83,516,98.2,1,2,1
SAMPLE-00305,Orders,40.6,54.1,0.66,0.03,508,46.1,0,2,0
SAMPLE-00306,Orders,24.8,41.3,0.36,0.08,296,45.7,0,2,0
SAMPLE-00307,Orders,86.2,75.6,3.03,4.09,1292,84.8,0,2,1
SAMPLE-00308,Authentication,46.3,56.9,0.86,0.1,339,25.1,1,2,0
SAMPLE-00309,Checkout,53.5,39.7,0.86,0.02,485,33.7,0,2,0
SAMPLE-00310,Checkout,38.4,45.8,0.3,0.03,370,27.9,1,2,0
SAMPLE-00311,Orders,27.5,43.9,0.56,0.08,230,20.8,0,2,0
SAMPLE-00312,Checkout,52,65.4,0.34,0.12,426,36.8,0,2,0
SAMPLE-00313,Authentication,58.9,59.7,0.58,0.04,368,30.3,0,2,0
SAMPLE-00314,Inventory,43,31.7,0.61,0.05,402,37,0,2,0
SAMPLE-00315,Authentication,34.1,45,0.52,0.07,233,28.9,0,2,0
SAMPLE-00316,Inventory,47.9,27.6,1,0.04,468,33.1,0,2,0
SAMPLE-00317,Checkout,39.6,31.3,0.63,0,398,20.2,0,2,0
SAMPLE-00318,Authentication,46,50.1,0.3,0.03,220,24,0,2,0
SAMPLE-00319,Orders,69.9,58.2,0.49,0.03,418,28.2,0,2,0
SAMPLE-00320,Orders,82,83.1,3.26,3.78,971,90.1,0,2,1
SAMPLE-00321,Orders,41.8,56,0.14,0.05,163,32.2,0,2,0
SAMPLE-00322,Authentication,39.4,58.4,0.31,0.05,273,46.9,0,2,0
SAMPLE-00323,Inventory,96.9,79.3,2.27,1.38,1367,92.3,1,2,1
SAMPLE-00324,Inventory,83.9,87.2,2.88,3.09,1628,93.3,0,2,1
SAMPLE-00325,Authentication,80.1,90.7,5.07,8.76,643,80.5,1,2,1
SAMPLE-00326,Inventory,31.1,25,0.47,0.01,366,47,0,2,0
SAMPLE-00327,Orders,87.9,85.3,2.98,6.04,445,87.1,1,2,1
SAMPLE-00328,Orders,93,86.6,3.5,0.5,1448,95.3,1,2,1
SAMPLE-00329,Authentication,78.4,89.1,2.53,4.01,910,90.4,0,2,1
SAMPLE-00330,Payments,33.2,57.5,0.64,0.07,368,51.9,0,2,0
SAMPLE-00331,Checkout,45.7,34.8,0.14,0.05,413,26.7,0,2,0
SAMPLE-00332,Payments,44.5,47.7,0.47,0.07,284,32.5,0,2,0
